LINK_ID,F_NODE,T_NODE,ROAD_NAME,smooth,slow,start_lat,start_lon,start_name,end_lat,end_lon,end_name
1830006904,1830002900,1830019100,옥천로,50,30,36.3184925874958,127.46374660681032,판암지구대,36.31853861010572,127.46483512845232,속성변화점
1830006905,1830019100,1830003000,옥천로,50,30,36.31853861010572,127.46483512845232,속성변화점,36.318607056082286,127.46652085596094,판암지구대
1830007004,1830019100,1830002900,옥천로,50,30,36.31853861010572,127.46483512845232,속성변화점,36.3184925874958,127.46374660681032,판암지구대
1830007005,1830003000,1830019100,옥천로,50,30,36.318607056082286,127.46652085596094,판암지구대,36.31853861010572,127.46483512845232,속성변화점
1830017100,1830002900,1830003000,옥천로,50,30,36.3184925874958,127.46374660681032,판암지구대,36.318607056082286,127.46652085596094,판암지구대
1830017200,1830003000,1830002900,옥천로,50,30,36.318607056082286,127.46652085596094,판암지구대,36.3184925874958,127.46374660681032,판암지구대
1830009102,1830003901,1830004000,계족로,25,15,36.327339744077385,127.44418301234886,대동지하차도,36.32934111919021,127.44304791867037,대동역오거리
1830009202,1830004000,1830003901,계족로,25,15,36.32934111919021,127.44304791867037,대동역오거리,36.327339744077385,127.44418301234886,대동지하차도
1830009501,1830004000,1830004001,계족로,25,15,36.32934111919021,127.44304791867037,대동역오거리,36.33054661903674,127.44160648093285,대동지하차도
1830009601,1830004001,1830004000,계족로,25,15,36.33054661903674,127.44160648093285,대동지하차도,36.32934111919021,127.44304791867037,대동역오거리
1830021700,1830004001,1830003901,계족로,25,15,36.33054661903674,127.44160648093285,대동지하차도,36.327339744077385,127.44418301234886,대동지하차도
1830021800,1830003901,1830004001,계족로,25,15,36.327339744077385,127.44418301234886,대동지하차도,36.33054661903674,127.44160648093285,대동지하차도
1830033900,1830013500,1830014100,동서대로,25,15,36.34128708835753,127.42184826221184,홍도고가,36.34252852590949,127.4234760112664,삼성오거리
1830034000,1830014100,1830013500,동서대로,25,15,36.34252852590949,127.4234760112664,삼성오거리,36.34128708835753,127.42184826221184,홍도고가
1830035500,1830014100,1830014200,대전로,25,15,36.34252852590949,127.4234760112664,삼성오거리,36.342909182275356,127.42472204259741,더드림교회
1830035600,1830014200,1830014100,대전로,25,15,36.342909182275356,127.42472204259741,더드림교회,36.34252852590949,127.4234760112664,삼성오거리
1830035900,1830014200,1830014600,동서대로,25,15,36.342909182275356,127.42472204259741,더드림교회,36.34438536986247,127.42821779356647,홍도고가
1830036000,1830014600,1830014200,동서대로,25,15,36.34438536986247,127.42821779356647,홍도고가,36.342909182275356,127.42472204259741,더드림교회
1830034100,1830013500,1830014600,동서대로,25,15,36.34128708835753,127.42184826221184,홍도고가,36.34438536986247,127.42821779356647,홍도고가
1830034200,1830014600,1830013500,동서대로,25,15,36.34438536986247,127.42821779356647,홍도고가,36.34128708835753,127.42184826221184,홍도고가
1830016702,1830002304,1830006900,천동초등동길,25,15,36.31796264841867,127.44528045370554,천동178-17,36.31926780705129,127.44602316845705,천동지하차도
1830016801,1830006900,1830002304,천동초등동길,25,15,36.31926780705129,127.44602316845705,천동지하차도,36.31796264841867,127.44528045370554,천동178-17
1830450100,1830171600,1830002304,천동초등동길,25,15,36.3201859163332,127.4466029873885,신흥동230,36.31796264841867,127.44528045370554,천동178-17
1830450200,1830002304,1830171600,천동초등동길,25,15,36.31796264841867,127.44528045370554,천동178-17,36.3201859163332,127.4466029873885,신흥동230
1830451500,1830173900,1830173300,성남로,25,15,36.340735159265726,127.42830240144579,삼성동300-12,36.34105702215256,127.42872508012493,성남동226-4
1830451600,1830173300,1830173900,성남로,25,15,36.34105702215256,127.42872508012493,성남동226-4,36.340735159265726,127.42830240144579,삼성동300-12
1830471700,1830173800,1830173600,성남로,25,15,36.34164668108343,127.42939788944356,성남동223-51,36.34150818963529,127.42924331532406,성남동223-17
1830471800,1830173600,1830173800,성남로,25,15,36.34150818963529,127.42924331532406,성남동223-17,36.34164668108343,127.42939788944356,성남동223-51
1830452300,1830173900,1830173800,성남로,25,15,36.340735159265726,127.42830240144579,삼성동300-12,36.34164668108343,127.42939788944356,성남동223-51
1830452400,1830173800,1830173900,성남로,25,15,36.34164668108343,127.42939788944356,성남동223-51,36.340735159265726,127.42830240144579,삼성동300-12
1830467100,1830172000,1830006500,옥천로106번길,25,15,36.3135432749684,127.45963084593058,판암동393-65,36.31500143121312,127.45928960538055,은어송지하차도
1830467200,1830006500,1830172000,옥천로106번길,25,15,36.31500143121312,127.45928960538055,은어송지하차도,36.3135432749684,127.45963084593058,판암동393-65
1830467500,1830171800,1830171700,-,25,15,36.31671787391983,127.45308139788365,판암동707-4,36.31638457571557,127.4525814456712,판암동438-12
1830467600,1830171700,1830171800,-,25,15,36.31638457571557,127.4525814456712,판암동438-12,36.31671787391983,127.45308139788365,판암동707-4
1830468500,1830172300,1830172200,-,25,15,36.31553476368284,127.46779260313299,판암동158-4,36.31613469459792,127.46764261101208,판암동156-6
1830468600,1830172200,1830172300,-,25,15,36.31613469459792,127.46764261101208,판암동156-6,36.31553476368284,127.46779260313299,판암동158-4
1840000101,1840000102,1840000101,대둔산로,25,15,36.276650463298395,127.37679960615101,안영고가교,36.2791747758322,127.37671191775269,안영IC삼거리
1840000201,1840000101,1840000102,대둔산로,25,15,36.2791747758322,127.37671191775269,안영IC삼거리,36.276650463298395,127.37679960615101,안영고가교
1840000702,1840000101,1840000103,대둔산로,25,15,36.2791747758322,127.37671191775269,안영IC삼거리,36.28105955620941,127.37581279297702,한국도로공사안영영업소안영고가교
